ID,StName,WaterBody,District,pH,DO (mg/L),BOD (mg/L),Conductivity (mS/cm),COD (mg/L),Nitrate,Total Phosphate (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Chloride (mg/L),Fluoride (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L)
5050,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,8.06,1.2,3,886,36,5.2,2.48,17,350,9,102,0.92,558,NA,18
5051,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,7.15,0.3,6,716,52,3,3.22,33,430,13,102,0.98,442,NA,21
5052,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,7.12,4.4,1.2,399,18,3.6,2.1,31,280,28,58,0.28,238,,20
5053,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Lake/Tank,Medchal Malkajgiri,7.16,2.3,4,583,44,3.3,2.81,20,540,26,69,0.48,362,NA,26
5054,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.78,3.4,3,737,33,5.2,1.88,17,220,16,86,0.52,472,NA,18
5055,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.66,2.2,2,329,28,3.2,2.16,20,350,22,44,0.38,204,NA,21
5056,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,7.06,2.6,2.2,553,34,2.7,3.2,33,430,11,78,1.12,342,NA,18
5057,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.9,0.3,8,829,92,10,2.84,13,350,28,114,0.2,514,NA,21
5058,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.9,1.2,2,718,26,4.8,2.1,17,280,13,104,0.37,452,NA,18
5059,"Gopi Cheruvu,  Lingampally, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.75,0.8,6,940,68,13,2.1,11,220,24,126,0.22,582,NA,14
5060,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.9,1.5,4,746,42,5.6,2.06,14,170,20,106,0.26,462,NA,18
5061,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.79,0.3,6,654,52,8,2.14,21,210,12,102,0.46,376,NA,16
5062,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,7.12,0.3,6,822,66,3.8,4.6,17,350,13,84,1.08,486,NA,20
5063,"Nanakram Kunta, Nanakraamguda, ",Lake/Tank,Medchal Malkajgiri,6.76,2.2,3,467,28,2.2,2.2,11,170,11,72,0.82,290,,22
5111,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Lake/Tank,Medchal Malkajgiri,7.09,0.3,6,1231,56,3.4,3.4,25,430,12,165,1.2,738,NA,26
5112,"Kamuni Cheruvu, Kukatpally",Lake/Tank,Medchal Malkajgiri,7.21,0.3,6,1088,62,3.2,3.8,27,430,17,152,1.16,652,NA,21
